Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04,129.41,133.6116,126.76,133.52,143301887,128.0877404236,132.2464101567,125.4648170628,132.1557460888,143301887,0.0,1.0
2021-01-05,131.01,131.74,128.43,128.89,97664898,129.6713922641,130.3939334163,127.1177536713,127.5730535754,97664898,0.0,1.0
2021-01-06,126.6,131.0499,126.382,127.72,155087970,125.3064518787,129.7108845818,125.0906793155,126.4150081671,155087970,0.0,1.0
2021-01-07,130.92,131.63,127.86,128.36,109578157,129.582311848,130.2850573523,126.5535777031,127.0484689033,109578157,0.0,1.0
2021-01-08,132.05,132.63,130.23,132.43,105158245,130.7007659604,131.2748397526,128.8993619918,131.0768832725,105158245,0.0,1.0
2021-01-11,128.98,130.17,128.5,129.19,100620880,127.6621339915,128.8399750478,127.1870384393,127.8699882955,100620880,0.0,1.0
2021-01-12,128.8,129.69,126.86,128.5,90440255,127.4839731594,128.3648794957,125.5637953028,127.1870384393,90440255,0.0,1.0
2021-01-13,130.89,131.45,128.49,128.76,88636831,129.552618376,130.1068965202,127.1771406153,127.4443818634,88636831,0.0,1.0
2021-01-14,128.91,131.0,128.76,130.8,90221755,127.5928492234,129.6614944401,127.4443818634,129.46353796,90221755,0.0,1.0
2021-01-15,127.14,130.2242,127.0,128.78,111598531,125.8409343749,128.8936212539,125.7023648388,127.4641775114,111598531,0.0,1.0
2021-01-19,127.83,128.71,126.938,127.78,90757329,126.5238842311,127.3948927434,125.64099833,126.4743951111,90757329,0.0,1.0
2021-01-20,132.03,132.49,128.55,128.66,104319489,130.6809703124,131.1362702165,127.2365275593,127.3454036234,104319489,0.0,1.0
2021-01-21,136.87,139.67,133.59,133.8,120529544,135.4715171299,138.2429078507,132.2250308569,132.4328851609,120529544,0.0,1.0
2021-01-22,139.07,139.85,135.02,136.28,114459360,137.6490384105,138.4210686828,133.6404196893,134.8875455137,114459360,0.0,1.0
2021-01-25,142.92,145.09,136.54,143.07,157611713,141.4597006517,143.6075284604,135.1448889378,141.6081680118,157611713,0.0,1.0
2021-01-26,143.16,144.3,141.37,143.6,98390555,141.6972484278,142.8256003641,139.9255379312,142.1327526839,98390555,0.0,1.0
2021-01-27,142.06,144.3,140.41,143.43,140843759,140.6084877875,142.8256003641,138.9753468269,141.9644896759,140843759,0.0,1.0
2021-01-28,137.09,141.99,136.7,139.52,142621128,135.6892692579,140.5392030194,135.3032541218,138.0944404907,142621128,0.0,1.0
2021-01-29,131.96,136.74,130.21,135.83,177523812,130.6116855444,135.3428454178,128.8795663438,134.4421434335,177523812,0.0,1.0
2021-02-01,134.14,135.38,130.93,133.75,106239823,132.769411177,133.9967413534,129.592209672,132.3833960409,106239823,0.0,1.0
2021-02-02,134.99,136.31,134.61,135.73,82266419,133.6107262173,134.9172389857,133.2346089052,134.3431651935,82266419,0.0,1.0
2021-02-03,133.94,135.77,133.61,135.76,89880937,132.571454697,134.3827564895,132.2448265049,134.3728586655,89880937,0.0,1.0
2021-02-04,137.39,137.4,134.59,136.3,84183061,135.986203978,135.996101802,133.2148132572,134.9073411617,84183061,0.0,1.0
2021-02-05,136.76,137.42,135.86,137.35,75693830,135.5655464579,136.2197820579,134.6734070033,136.1503934337,75693830,0.205,1.0
2021-02-08,136.91,136.96,134.92,136.03,71297214,135.714236367,135.76379967,133.7416169063,134.8419222336,71297214,0.0,1.0
2021-02-09,136.01,137.877,135.85,136.62,75986989,134.8220969124,136.6727906477,134.6634943427,135.4267692094,75986989,0.0,1.0
2021-02-10,135.39,136.99,134.4,136.48,72647988,134.2075119548,135.7935376518,133.2261585547,135.2879919609,72647988,0.0,1.0
2021-02-11,135.13,136.39,133.77,135.9,64280029,133.949782779,135.1987780154,132.6016609365,134.7130576457,64280029,0.0,1.0
2021-02-12,135.37,135.53,133.6921,134.35,60145130,134.1876866336,134.3462892033,132.5244413103,133.1765952517,60145130,0.0,1.0
2021-02-16,133.19,136.01,132.79,135.49,80576316,132.0267266213,134.8220969124,131.630220197,134.3066385608,80576316,0.0,1.0
2021-02-17,130.84,132.22,129.47,131.25,97372199,129.6972513787,131.0651985424,128.3392168756,130.1036704636,97372199,0.0,1.0
2021-02-18,129.71,129.995,127.41,129.2,96856748,128.5771207301,128.8596315574,126.2972087906,128.0715750392,96856748,0.0,1.0
2021-02-19,129.87,130.71,128.8,130.24,87668834,128.7357232998,129.5683867908,127.6750686149,129.1024917423,87668834,0.0,1.0
2021-02-22,126.0,129.72,125.6,128.01,102886922,124.899523645,128.5870333907,124.5030172208,126.891968427,102886922,0.0,1.0
2021-02-23,125.86,126.71,118.39,123.76,158273022,124.7607463965,125.6033225481,117.3559889233,122.6790876691,158273022,0.0,1.0
2021-02-24,125.35,125.56,122.23,124.94,111039904,124.2552007056,124.4633665783,121.1624505963,123.8487816207,111039904,0.0,1.0
2021-02-25,120.99,126.4585,120.54,124.68,144766924,119.9332806811,125.3540191339,119.4872109537,123.5910524449,144766924,0.0,1.0
2021-02-26,121.26,124.85,121.2,122.59,163424672,120.2009225174,123.7595676753,120.1414465538,121.5193063781,163424672,0.0,1.0
2021-03-01,127.79,127.93,122.79,123.75,116307892,126.6738898936,126.8126671421,121.7175595903,122.6691750085,116307892,0.0,1.0
2021-03-02,125.12,128.72,125.01,128.41,102260945,124.0272095116,127.5957673301,123.918170245,127.2884748513,102260945,0.0,1.0
2021-03-03,122.06,125.71,121.84,124.81,112966340,120.993935366,124.6120564874,120.7758568326,123.7199170328,112966340,0.0,1.0
2021-03-04,120.13,123.6,118.62,121.75,178154975,119.0807918689,122.5204850994,117.5839801173,120.6866428872,178154975,0.0,1.0
2021-03-05,121.42,121.935,117.57,120.98,153766601,120.3595250871,120.8700271084,116.5431507535,119.9233680204,153766601,0.0,1.0
2021-03-08,116.36,121.0,116.21,120.93,154376610,115.3437188201,119.9431933417,115.195028911,119.8738047174,154376610,0.0,1.0
2021-03-09,121.085,122.06,118.79,119.03,129525780,120.0274509568,120.993935366,117.7524953476,117.9903992021,129525780,0.0,1.0
2021-03-10,119.98,122.17,119.45,121.69,111943326,118.9321019598,121.1029746326,118.4067309476,120.6271669235,111943326,0.0,1.0
2021-03-11,121.96,123.21,121.26,122.54,103026514,120.8948087599,122.1338913357,120.2009225174,121.4697430751,103026514,0.0,1.0
2021-03-12,121.03,121.17,119.16,120.4,88105050,119.9729313235,120.111708572,118.11926379,119.3484337053,88105050,0.0,1.0
2021-03-15,123.99,124.0,120.42,121.41,92590555,122.9070788631,122.9169915237,119.3682590265,120.3496124265,92590555,0.0,1.0
2021-03-16,125.57,127.22,124.715,125.7,115227936,124.4732792389,126.1088682391,123.6257467571,124.6021438268,115227936,0.0,1.0
2021-03-17,124.76,125.8599,122.336,124.05,111932636,123.6703537298,124.7606472699,121.2675247987,122.9665548267,111932636,0.0,1.0
2021-03-18,120.53,123.18,120.32,122.88,121469755,119.4772982931,122.1041533539,119.2691324204,121.8067735357,121469755,0.0,1.0
2021-03-19,119.99,121.43,119.675,119.9,185549522,118.9420146204,120.3694377477,118.6297658113,118.8528006749,185549522,0.0,1.0
2021-03-22,123.39,123.87,120.26,120.33,111912284,122.3123192267,122.7881269358,119.2096564568,119.279045081,111912284,0.0,1.0
2021-03-23,122.54,124.24,122.14,123.33,95467142,121.4697430751,123.1548953782,121.0732366508,122.252843263,95467142,0.0,1.0
2021-03-24,120.09,122.9,120.065,122.82,88530485,119.0411412264,121.8265988569,119.0163595749,121.7472975721,88530485,0.0,1.0
2021-03-25,120.59,121.66,119.0,119.54,98844681,119.5367742568,120.5974289417,117.9606612203,118.4959448931,98844681,0.0,1.0
2021-03-26,121.21,121.48,118.92,120.35,94071234,120.1513592144,120.4190010508,117.8813599355,119.2988704022,94071234,0.0,1.0
2021-03-29,121.39,122.58,120.7299,121.65,80819203,120.3297871053,121.5093937175,119.6754523787,120.5875162811,80819203,0.0,1.0
