Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04,217.69,223.0,214.81,222.53,37130139,214.4547212448,219.6858047572,211.6175234076,219.2227898324,37130139,0.0,1.0
2021-01-05,217.9,218.52,215.7,217.26,23822953,214.6616002538,215.2723858993,212.4942963503,214.0311118455,23822953,0.0,1.0
2021-01-06,212.25,216.4899,211.94,212.17,35930653,209.0955697745,213.2724569655,208.7901769517,209.0167587235,35930653,0.0,1.0
2021-01-07,218.29,219.34,213.71,214.04,27694480,215.0458041276,216.0801991724,210.5338714559,210.8589670414,27694480,0.0,1.0
2021-01-08,219.62,220.58,217.0261,218.68,22956206,216.356037851,217.3017704634,213.800688035,215.4300080013,22956206,0.0,1.0
2021-01-11,217.49,218.91,216.73,218.47,23047029,214.2576936172,215.6565897731,213.5089886324,215.2231289924,23047029,0.0,1.0
2021-01-12,214.93,217.1,213.3202,216.5,23148341,211.7357399841,213.8734897434,210.1498646097,213.2824068607,23148341,0.0,1.0
2021-01-13,216.34,216.76,213.9266,214.02,20087080,213.1247847586,213.5385427765,210.7472523765,210.8392642786,20087080,0.0,1.0
2021-01-14,213.02,217.46,212.74,215.91,29346737,209.8541261407,214.2281394731,209.5782874621,212.7011753593,29346737,0.0,1.0
2021-01-15,212.65,214.51,212.03,213.52,31746512,209.4896250297,211.3219819662,208.8788393841,210.3466952096,31746512,0.0,1.0
2021-01-19,216.44,216.98,212.63,213.75,30480859,213.2232985724,213.7552731669,209.4699222669,210.5732769814,30480859,0.0,1.0
2021-01-20,224.34,225.79,217.2908,217.7,37777260,221.005889862,222.434340162,214.0614541001,214.4645726262,37777260,0.0,1.0
2021-01-21,224.97,226.3,222.42,224.7,30749553,221.6265268889,222.9367606123,219.1144246372,221.3605395916,30749553,0.0,1.0
2021-01-22,225.95,230.07,225.8,227.08,30172663,222.5919622641,226.6507313923,222.4441915434,223.7051683599,30172663,0.0,1.0
2021-01-25,229.53,229.78,224.22,229.12,33152095,226.1187567978,226.3650413323,220.8876732854,225.7148501613,33152095,0.0,1.0
2021-01-26,232.33,234.18,230.08,231.86,49169601,228.877143584,230.6996491392,226.6605827737,228.4141286592,49169601,0.0,1.0
2021-01-27,232.9,240.44,230.14,238.0,69870638,229.4386723226,236.8666138826,226.719691062,234.462876826,69870638,0.0,1.0
2021-01-28,238.93,242.64,235.09,235.61,49111159,235.3790552943,239.033917786,231.5961248447,232.1083966764,49111159,0.0,1.0
2021-01-29,231.96,238.02,231.35,235.99,42503138,228.512642473,234.4825795888,227.9117082088,232.4827491688,42503138,0.0,1.0
